brand,model,issue_type,part_name,tier,price,labor,compatible_models,warranty,turnaround,source_hub
Apple,iPhone 14 Pro,Screen,Display Assembly,Premium (OEM),24500,800,,12 months,1-2 hours,Telipura Market
Apple,iPhone 14 Pro,Screen,Display Assembly,Standard (HQ),13500,800,,6 months,1-2 hours,Telipura Market
Apple,iPhone 14 Pro,Screen,Display Assembly,Compatible (Budget),7350,800,,1 month,1-2 hours,Telipura Market
Apple,iPhone 14 Pro,Battery,Li-ion Battery,Premium (OEM),7350,400,,12 months,45 mins,Dharampeth Hub
Apple,iPhone 14 Pro,Battery,Li-ion Battery,Standard (HQ),4050,400,,6 months,45 mins,"Modi No. 3, Sitabuldi"
Apple,iPhone 14 Pro,Battery,Li-ion Battery,Compatible (Budget),2200,400,,1-3 months,45 mins,Dharampeth Hub
Apple,iPhone 14 Pro,Charging port,USB/Charging Sub-board,Premium (OEM),3700,400,,12 months,1 hour,"Modi No. 3, Sitabuldi"
Apple,iPhone 14 Pro,Charging port,USB/Charging Sub-board,Standard (HQ),2000,400,,6 months,1 hour,Telipura Market
Apple,iPhone 14 Pro,Charging port,USB/Charging Sub-board,Compatible (Budget),1100,400,Universal Apple family,1-3 months,1 hour,Telipura Market
Apple,iPhone 14 Pro,Back Glass,Rear Panel,Premium (OEM),6100,500,,12 months,2-3 hours,Dharampeth Hub
Apple,iPhone 14 Pro,Back Glass,Rear Panel,Standard (HQ),3350,500,,6 months,2-3 hours,Telipura Market
Apple,iPhone 14 Pro,Back Glass,Rear Panel,Compatible (Budget),1850,500,,,2-3 hours,Telipura Market
Apple,iPhone 14 Pro,Camera,Camera Module,Premium (OEM),14700,500,,12 months,1-2 hours,Dharampeth Hub
Apple,iPhone 14 Pro,Camera,Camera Module,Standard (HQ),8100,500,,6 months,1-2 hours,Dharampeth Hub
Apple,iPhone 14 Pro,Camera,Camera Module,Compatible (Budget),4400,500,,1-3 months,1-2 hours,"Modi No. 3, Sitabuldi"
Apple,iPhone 14 Pro,Speaker/Mic,Loudspeaker/Mic Flex,Premium (OEM),2450,350,,12 months,45 mins,"Modi No. 3, Sitabuldi"
Apple,iPhone 14 Pro,Speaker/Mic,Loudspeaker/Mic Flex,Standard (HQ),1350,350,,6 months,45 mins,Dharampeth Hub
Apple,iPhone 14 Pro,Speaker/Mic,Loudspeaker/Mic Flex,Compatible (Budget),750,350,Universal Apple family,1-3 months,45 mins,Rahul Bazar
